District,Price,m² (Net),Number of rooms,Building Age,Floor location,Heating,Number of bathrooms,Balcony,Furnished,Available for Loan,Fiber Internet,Kitchen (Built-in),Security,Thermal Insulation,Generator,Indoors_Parking,Doorman,Playground,Sound insulation,Shopping_Mall,Mosque,Pharmacy,Amusement center,Hospital,High school,Market,Police station,The health clinic,District Market,Gym,University,Primary School-Secondary School,Town center,Highway,Shared_Taxi_Dolmus,E-5,Airport,Metro,Metrobus,TEM,Nature,Mezzanine,Accessibility_Score,Is_Handicap_Accessible
Güngören,620000,140.0,4,26-30 between,1,1,1,1,No,Yes,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Bağcılar,115000,80.0,2,16-20 between,0,1,1,0,No,No,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Ataşehir,419000,100.0,4,1,2,1,2,0,No,Yes,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0
Büyükçekmece,395000,124.0,4,3,0,1,2,0,No,Yes,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Çekmeköy,485000,115.0,4,5-10 between,2,1,2,1,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
Ümraniye,305000,85.0,3,5-10 between,1,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1
Maltepe,545000,105.0,4,2,1,1,1,1,No,Yes,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0
Arnavutköy,190000,140.0,4,5-10 between,2,1,1,1,No,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
Beyoğlu,1850000,85.0,3,0,2,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0,0,1,0,0
Kağıthane,800000,120.0,3,16-20 between,1,1,2,1,No,Yes,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0
Sultanbeyli,188000,120.0,4,1,0,1,1,0,No,Yes,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,2,1
Başakşehir,1750000,150.0,5,0,3,1,2,1,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,3,1
Güngören,2350000,189.0,6,0,2,1,3,1,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1
Silivri,155000,112.0,4,5-10 between,2,1,1,1,Unknown,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahçelievler,755000,85.0,3,0,1,1,1,1,No,Yes,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0
Zeytinburnu,315000,90.0,3,16-20 between,0,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Kağıthane,190000,50.0,2,5-10 between,0,1,1,0,No,Yes,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0
Silivri,325000,135.0,4,16-20 between,0,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Büyükçekmece,315000,90.0,3,5-10 between,0,1,1,0,No,Yes,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1
Başakşehir,620000,95.0,4,11-15 between,1,1,1,0,Unknown,Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kağıthane,575000,120.0,5,1,1,1,2,1,No,Yes,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0
Ümraniye,790000,83.0,4,0,3,1,2,1,No,Yes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1
Bahçelievler,415000,120.0,5,1,2,1,2,1,No,Yes,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Kartal,490000,100.0,4,0,2,1,1,1,No,Yes,0,1,0,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,0
Esenyurt,280000,110.0,4,4,1,1,1,1,No,Yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ümraniye,270000,70.0,3,1,0,1,1,1,No,Yes,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
Beşiktaş,750000,90.0,3,26-30 between,0,1,1,1,No,Yes,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0
Sultangazi,550000,180.0,5,5-10 between,2,1,2,1,No,Yes,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
